"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0247",7,61,"60-69","Female",5604,"60-69"
"S0248",21,65,"60-69","Male",4271,"60-69"
"S0249",22,21,"19-29","Female",13219,"20-29"
"S0250",12,26,"19-29","Male",6051,"20-29"
"S0251",30,52,"50-59","Female",32725,"50-59"
"S0252",26,18,"11-18","Male",29362,"10-19"
"S0253",23,26,"19-29","Male",44002,"20-29"
"S0254",24,26,"19-29","Female",22832,"20-29"
"S0255",419,48,"40-49","Female",130992,"40-49"
"S0256",51,23,"19-29","Female",35547,"20-29"
"S0257",53,45,"40-49","Female",41046,"40-49"
"S0258",23,31,"30-39","Female",8776,"30-39"
"S0259",7,42,"40-49","Female",15354,"40-49"
"S0260",2,80,"80-89","Female",6822,"70+"
"S0261",91,41,"40-49","Male",62528,"40-49"
"S0262",600,41,"40-49","Female",169739,"40-49"
"S0263",4,39,"30-39","Female",3032,"30-39"
"S0264",17,60,"60-69","Male",11066,"60-69"
"S0265",8,56,"50-59","Male",4428,"50-59"
"S0266",25,62,"60-69","Female",17787,"60-69"
"S0267",30,63,"60-69","Female",6414,"60-69"
"S0268",15,67,"60-69","Male",14070,"60-69"
"S0269",1,74,"70-79","Male",9767,"70+"
"S0270",23,66,"60-69","Female",8352,"60-69"
"S0271",9,68,"60-69","Female",9912,"60-69"
"S0272",37,56,"50-59","Female",7918,"50-59"
"S0273",2,60,"60-69","Female",4397,"60-69"
"S0274",6,26,"19-29","Male",8796,"20-29"
"S0275",25,20,"19-29","Female",14643,"20-29"
"S0276",5,19,"19-29","Female",10038,"10-19"
"S0278",108,66,"60-69","Male",106913,"60-69"
"S0280",1,46,"40-49","Female",1025,"40-49"
"S0281",51,65,"60-69","Male",46366,"60-69"
"S0282",239,55,"50-59","Female",61133,"50-59"
"S0283",19,48,"40-49","Male",7217,"40-49"
"S0284",12,67,"60-69","Male",4367,"60-69"
"S0285",11,20,"19-29","Male",5921,"20-29"
"S0286",9,18,"11-18","Male",3742,"10-19"
"S0287",16,52,"50-59","Female",5778,"50-59"
"S0288",7,59,"50-59","Male",3478,"50-59"
"S0289",31,66,"60-69","Female",11230,"60-69"
"S0290",5,19,"19-29","Male",3725,"10-19"
"S0291",2,21,"19-29","Female",3701,"20-29"
