speaker	gender	age_group	count	total	rate_pmw
S0331	Male	30-39	25	36000	694.4444444444445
S0334	Female	40-49	10	6759	1479.5088030773784
S0335	Female	30-39	33	9651	3419.3347839602116
S0336	Female	19-29	222	97971	2265.9766665645952
S0337	Male	19-29	55	48809	1126.8413612243644
S0338	Female	50-59	9	20909	430.436654072409
S0339	Male	50-59	34	17811	1908.9326820504182
S0340	Male	80-89	0	330	0
S0341	Female	50-59	7	1995	3508.7719298245615
S0342	Male	19-29	8	5566	1437.297879985627
S0343	Male	50-59	2	7374	271.22321670735016
S0344	Female	19-29	20	18377	1088.3169178864887
S0345	Female	19-29	16	4669	3426.8579995716427
S0346	Female	19-29	11	9499	1158.0166333298241
S0347	Male	19-29	1	2996	333.7783711615487
S0349	Female	19-29	6	5389	1113.379105585452
S0350	Female	19-29	12	6773	1771.7407352724051
S0351	Male	19-29	0	529	0
S0352	Male	11-18	5	8670	576.7012687427913
S0353	Male	60-69	10	15133	660.8075067732769
S0354	Female	70-79	17	9698	1752.938750257785
S0355	Male	60-69	2	17627	113.46230215011063
S0356	Male	80-89	0	714	0
S0357	Female	19-29	8	3337	2397.36290080911
S0358	Male	50-59	3	6703	447.56079367447416
S0359	Male	60-69	2	716	2793.296089385475
S0360	Female	60-69	6	5852	1025.2904989747096
S0361	Female	30-39	15	5309	2825.3908457336597
S0362	Male	19-29	17	11261	1509.635023532546
S0363	Female	19-29	6	8120	738.9162561576355
S0364	Male	30-39	4	4635	862.9989212513484
S0365	Male	60-69	3	1941	1545.5950540958268
S0366	Female	50-59	4	2362	1693.480101608806
S0367	Male	30-39	5	1827	2736.7268746579093
S0368	Female	80-89	3	15084	198.8862370723946
S0369	Male	80-89	52	39869	1304.2714891268906
S0370	Male	60-69	25	21899	1141.604639481255
S0372	Male	60-69	7	9479	738.4745226289693
S0373	Male	50-59	0	385	0
S0374	Female	19-29	2	4017	497.8839930296241
S0375	Female	19-29	10	7645	1308.0444735120996
S0376	Female	40-49	0	5691	0
S0377	Female	19-29	3	4013	747.5703962123099
S0378	Female	19-29	19	5094	3729.878288182175
S0379	Female	50-59	1	5571	179.50098725542992
S0380	Male	19-29	8	5605	1427.2970561998216
S0381	Female	40-49	14	10164	1377.4104683195592
S0382	Male	60-69	31	18905	1639.777836551177
S0383	Male	30-39	47	19409	2421.5570096347055
S0384	Male	19-29	4	3886	1029.336078229542
S0387	Male	19-29	3	3176	944.5843828715365
S0388	Female	50-59	5	3078	1624.4314489928524
S0389	Female	60-69	6	3819	1571.0919088766693
S0390	Female	70-79	32	19073	1677.764378965029
S0391	Female	50-59	17	40040	424.57542457542456
S0392	Male	11-18	53	63623	833.0320795938576
S0393	Male	40-49	12	19711	608.7971183603065
S0394	Female	60-69	1	1595	626.9592476489029
S0395	Female	30-39	2	1643	1217.2854534388314
S0396	Female	60-69	0	256	0
S0397	Female	50-59	13	11168	1164.0401146131805
S0398	Female	80-89	1	1351	740.1924500370096
S0399	Male	60-69	1	1047	955.1098376313275
S0400	Male	19-29	4	2610	1532.5670498084291
S0401	Male	50-59	1	3034	329.5978905735003
S0402	Male	11-18	10	18137	551.3591001819485
S0403	Male	11-18	1	1441	693.9625260235947
S0404	Male	11-18	1	1304	766.8711656441718
S0405	Male	11-18	46	61634	746.3413051237953
S0406	Male	19-29	0	699	0
S0407	Female	40-49	4	1163	3439.3809114359415
S0408	Female	50-59	0	1641	0
S0409	Female	40-49	2	2420	826.4462809917355
S0410	Male	40-49	1	1080	925.925925925926
S0411	Female	40-49	20	9687	2064.6226902033654
S0412	Female	0-10	0	259	0
S0415	Male	40-49	62	26941	2301.325117850117
S0416	Male	11-18	71	49647	1430.0964811569684
S0417	Female	40-49	207	88937	2327.490245904404
S0418	Male	0-10	0	2547	0
S0419	Male	60-69	3	13633	220.05428005574709
S0420	Male	30-39	5	7682	650.8721687060661
S0421	Female	11-18	26	52213	497.960278091663
S0422	Female	30-39	2	4749	421.1412929037692
S0423	Male	50-59	15	54877	273.3385571368697
S0424	Male	40-49	8	15083	530.3984618444606
S0425	Male	19-29	2	1841	1086.3661053775122
S0426	Male	60-69	7	12218	572.9251923391716
S0427	Male	60-69	11	18194	604.5949214026601
S0428	Female	19-29	37	37612	983.7285972561949
S0429	Female	19-29	7	3246	2156.5003080714723
S0430	Male	19-29	4	2567	1558.2391897156213
S0431	Female	19-29	2	733	2728.512960436562
S0432	Female	19-29	63	28627	2200.7196003772665
S0433	Female	19-29	1	295	3389.830508474576
S0434	Female	30-39	6	3548	1691.0935738444193
S0435	Female	11-18	23	8792	2616.014558689718
S0436	Female	19-29	9	9037	995.9057209250857
S0437	Female	19-29	13	3747	3469.442220443021
S0438	Female	19-29	2	1720	1162.7906976744187
S0439	Female	19-29	439	205049	2140.9516749654963
S0440	Female	50-59	21	33087	634.6903617735063
S0441	Female	19-29	158	52726	2996.6240564427417
S0442	Female	30-39	0	1226	0
S0443	Female	60-69	25	11062	2259.98915205207
S0444	Female	19-29	58	31229	1857.248070703513
S0445	Female	19-29	8	6971	1147.6115334959118
S0446	Male	60-69	4	4019	995.2724558347848
S0447	Male	19-29	7	3365	2080.2377414561665
S0448	Female	19-29	11	7241	1519.1271923767436
S0449	Female	40-49	2	1622	1233.0456226880394
S0450	Female	19-29	25	22617	1105.363222354866
S0451	Female	19-29	24	12435	1930.0361881785284
S0452	Male	50-59	13	6592	1972.0873786407767
S0453	Male	30-39	17	19928	853.0710558008832
S0454	Female	30-39	356	136946	2599.564791961795
